SongTitle,Lyrics,hasVideo,Annotations,ReleaseDate,Album,lang,WordLength
G.O.A.T.,willing borrow grass specialize eat mc immortal word cool j would g know g mean great time consider thank much go part worried everyone think career tube dusty garage inhalin carbon monoxide fume everyone tellin come rap know lot medulla oblongata get ta get sure gon na come probably gon na think comin cocky like start givin really think see thing really know thing everyone makin stink like kind aura king around surround nothin gangster killer banger dangerous criminal feel like comfortable around neighbor see dream remember best leave seem like even put category mc weezy well jay z please subliminally mean think jigga best league see easy consider great white rapper knowin goddamn well best rapper ever live period g mean gloat know know know think magazine never put ink would look consider g know g mean great time consider thank much go maybe figure way game get ta go try find em new eminem new shady think gon na happen man thought crazy maybe could takin wrong tryna pay homage strange way pay homage fellow white competitor almost way see hardly ever hear anyone even bringin paul wall white lyrically pose threat anyone see aight bubba sparxxx write caught snow white timbaland even get studio go coke right sad dope right america next great white hope right feel like get ta come corny white rapper show right still havin mixed feel real spillin somethin white boy talkin black runnin around damn grill mouth love tiger wood ironic best rapper white best golfer black get ta catch flack people never heard eminem mile come already hit middle america parent likin suddenly bad guy hatred must die thought commit career suicide turn back bad guy faggoty faggoty faggoty gay anatomy god make raggedy ann andy raggedy andy andy andy angelina jolie another ho brad sucka want go somalia adopt another know well save kid madonna need publicity get want shady well man apologizin g mean gloat know know know think magazine never put ink would look consider g know g mean great time consider thank much go man takin ball goin home man easy nobody even want pa ball g worry game sit argue best know g like best get panty bunch go like much everybody start thank much everybody get ta think know know know know know g real peace,False,29,2011-12-18,Straight from the Lab Part 2,en,2237
Encore / Curtains Down,sh sh sh shady aftermath haha g g g g g unit haha come set party right bounce tonight u front come side ever wan na leave game without least goodbye people left people right swing last time get doctor time get doctor come go cliff hanger another club banger ya hangin edge seat get time game lose win bout show knucklehead new year next phase begin look goin crazy trend set every time go come back full circle fad mean something already go come back bad map radar even find stay grind slip grind walk around mad anger blind walk around playin violin behind enough pissin moanin win bitchin sit observe listen learn pay attention multi platinum album later three diamond worldwide chart bullet still climbin come set party right bounce tonight u front come side ever wan na leave game without least goodbye people left people right swing last time dr dre crunk get crunk get crunk crunk crunk crunk cent jump get foot jump jump jump jump jump buzz tremendous drop sense get ta promote know doc bench keep party rockin hinge showin go popular consensus critic doc soft doc talk doc wash knock doc impressin doc doc wrong impression must doc doc left guessin dj take needle drop record gon hoppin second always save best cut last make scratch itch like fresh cut grass swam shark wrestle alligator spoke generation angry teenager rap bridge gap may raise racist may never see face grace cover roll stone page broke barrier language race call caped crusader leave dre pa mic play back forth day like hot potato game come come set party right bounce tonight u front come side ever wan na leave game without least goodbye people left people right swing last time cent come bounce hand know make club jump everywhere go secret everybody know dre involve plenty money involve plenty honey involve sunny sunday palm tree cali everyday another party valley way mile alley rally hand grand finale raise seat dre speak blaze pound weed six day week catch studio bangin beat provide heat keep blazing speaker never never shady aftermath together along g unit record present return doc shady well tear club leave without shred evidence come set party right bounce tonight u front come side ever wan na leave game without least goodbye people left people right swing last time haha still aftermath worry detox album comin gon make dre haha cent g unit obie trice twizzy stat quo dr dre leave go haha lady gentleman thank come peace people chant eminem name eminem leaf slim shady footstep almost forgot girl scream shady pull gun come eminem gun start shoot audience people start scream terrify run gunshot shout ha ha ha bye bye eminem shoot see hell fucker,False,15,2004-11-09,Encore,en,2644
One Shot 2 Shot,gunshot crowd holler told come back brewster project shot two shot three shot four shot hear gunshot fun stop body drop hit floor music party stop everybody hit door somebody lick shot security go trap club try run get motherfucking gun wife try run save motherfucking life shooter come holler run people shot floor try make saint andrew door sound glock even dj house shoe around shot mess around forgot tec see nobody fatt father hex trip try slip exit get car scream everywhere wylin two minute ago joking smile chick cling sob sigh mean dis earlier cry real cap get peel hug use body human shield hit yell told right back dumb believe squeeze back door make escape ran hope late shot two shot three shot four shot hear gunshot fun stop body drop hit floor music party stop everybody hit door somebody lick shot mile damn somebody hit back gat tire flat hit pole hoe know tell drove black mitsubishi man way believe leave carcass today park car walk rest way mood strut ak even tucked meet club gon hoe shot two shot three shot four shot hear gunshot fun stop body drop hit floor music party stop everybody hit door somebody lick shot never see like life people still camped night sleep outside door wait line still try get inside club see perform fire marshal know venue small people wall wall odd fan cum wad parking lot get argument parking spot decides pull gun miss aim six foot away door st andrew hall stray fly place graze face another em come wall anyone could even hear first shot go post bar mazel tov bullet whiz right ear damn near shot thank god alive get ta find denaun von usually tuck wait minute think saw bizarre nah guess god never saw run fast life look haul think left wife ground trample go grab damn hand pull god damn go another damn bullet hit vest barely able handle thin get hit scoop dee follow bizarre path ran make front door collapse step look see swift shoot see shoot denaun right behind squeeze four fifth shot two shot three shot four shot hear gunshot fun stop body drop hit floor music party stop everybody hit door somebody lick shot yo friday night come right big left hand desert eagle right come party come fight although stay fight pop tonight right drunk revenge shot bouncer neck try check get swift told meet clear schmuck shot back truck shot money two stop show third bartender wan na know drive black mitsubishi try run proof shot knee three piece shot two shot three shot four shot hear gunshot fun stop body drop hit floor music party stop everybody hit door somebody lick shot,False,23,2004-11-12,Encore,en,2531
Evil Deeds,lord please forgive know father please forgive know never chance ever meet therefore know would grow mother evil seed evil deed momma head popped head popped head popped head popped head popped head popped momma want next thing know gettin drop gettin drop gettin drop gettin drop gettin drop ring ring ring doorbell next door neighbor front porch front porch front porch front porch front porch want neither left someone else lawn else lawn else lawn else lawn til somebody finally take great aunt uncle edna charles edna charles edna charles edna charles edna charles left charge elementary gang sing song sing song sing song sing song sing song go little something like mary little lamb little lamb little lamb debbie satan spawn satan spawn momma keep sayin understand understand way dad father please forgive know never chance ever meet therefore know would grow mother evil seed evil deed predominantly predominantly everything always predominantly predominantly white predominantly black well leave well guess predominantly em think hear word scream projectile vomitin look like comedian think kiddin look like kinda idi wait minute answer misunderstood go much bullshit bullshit tush mull bish woe go poor marshall whinin million mansion sorrow always drownin dad never childhood bad mom dope addict ex wife go man hate bad mr mathers claim imagine little rich poor white bastard need take cash bank take bath man half knew half haha father please forgive know never chance ever meet therefore know would grow mother evil seed evil deed evil deed plant evil seed please release demon never plan mom please believe wan na satan spawn never chance sorry look pain dear santa claus comin year bad deserve everything could perfect life fairytale hoist air forty foot people everywhere even know feel like know ferris wheel wan na go mall take hailie carousel without crowd everywhere go life like merry go round go si curtain show must go ring around rosie show go home curtain close fame suppose switch could turn chose please god give strength take carry til pa back baton camera soul go father please forgive know never chance ever meet therefore know would grow mother evil seed evil deed father please forgive know never chance ever meet therefore know would grow mother evil seed evil deed last go last go detroit,False,18,2004-11-12,Encore,en,2323
My Fault,never meant give mushroom girl never meant bring world sittin corner cry fault fault never meant give mushroom girl never meant bring world sittin corner cry fault fault go john rave ron dave met new wave blonde babe half head shave nurse aid come get laid tie first aid tape rap first date susan ex heroin addict stop usin love booze alternative music told go back usin wait first try hallucinogen well heroin henn booze gin c mere go den kelly bad try another room trust shut chew mushroom help get touch root get barefoot butt naked run wood hell might well try em party drab dag mean eat whole bag huh never meant give mushroom girl never meant bring world sittin corner cry fault fault never meant give mushroom girl never meant bring world sittin corner cry fault fault yo sue get away know shoot trippin need go puke tryna turn somethin major want make appreciate nature susan stop cry hate ya world sorry father rap ya little coochie dad mouth reason start wiggin spaz help think havin seizure high quit grabbin shirt would calm startin scare year old married even kid cook sue talk plant look need get hospital fore late never see eat many shrooms ate never meant give mushroom girl never meant bring world sittin corner cry fault fault never meant give mushroom girl never meant bring world sittin corner cry fault fault susan wait goin well careful leave alone dad sick gettin hair pull dad quit try swallow tongue want gum put scissors fore something dumb right back chill please get ta go find dave give john dave bash bathroom think takin crap dude dave pull pant need ambulance girl upstairs talk plant choppin hair two day left spring break long thing take wear well depends many take three ate cap upstairs cryin eyeball drinking lysol gon na die dude know fault god never meant give mushroom girl never meant bring world sittin corner cry fault fault never meant give mushroom girl never meant bring world sittin corner cry fault fault god sorry sorry susan please wake please please wake dead dead know dead wake susan wake god,True,14,1999-02-23,The Slim Shady LP,en,2046
Eminem Freestyles on Tim Westwood | 2010,welcome ill world mr p ayy keep talk b tryna see dough bread gon speak fo lead beef bro well get leash yo freak ho specialize wood like home depot like chico debarge star roscoe p coltrane bar man amtrak break damn back man ralph lauren damn chap polo pro though bird crazy el pollo loco talkin cheese photo askin ring like ho know frodo well get house think threw mouth bit sick lyin talkin bust heater see maybe like justin bieber leavin rival underground like skyzoo layin street bleedin butt naked bullet mothafuckin head like erykah badu find irony bein place wearin gucci mane gettin whiteboy waste tell break bread take lead tryin get rid weight like k fed denaun gangsta bond like lifetime thing prom next mc rhyme official ref whistle young money definitely dis rhymin packin mac back acura perhaps match spectacular vernacular still rhymin bottle model college knowledge usin word swagger probably garbage thug funny comparin anybody comparin superman bug bunny like white michael vick psycho enough stick michael j fox microwave rott might make little aliz side nyquil ride motorcycle bike right side high school satan disciple sniper rifle knife white diaper liable snipe dope get opiate appropriate way start day may smart dre may hard contain rage hard gauge see hannibal ate face met jason gnawed leg amazin hard razor blade anything sharp even poisonous dart play major part game holy water ward crucifix trick sick ridiculous saw crazy part brain still insane bloodstain carpet mane crazy goin shady apartment okay back block slingin yay like old day superman beat carry whole state wooden leg house hold weight shea jackson okay little bit twist obama mr porter back anthrax like osama sent drive girl crazy get ta look rorschach get thought back small fry small ticker small tack make em cry big raw sack potblood science return raw rap best mane eli porter stance call nickle bishop poet mixture goines john grisham flow rewindin four five time landmine rhyme write porcupine line step slaughterhouse c b gang approach bend gun barrel horseshoe monster truth monster pop like beetlejuice beetlejuice beetlejuice even see booth could fit stevie shoe sick desert eagle flu rich lil need cent teflon doctor try take blood needle bent ask mom outta mind imagine usin magic johnson without condom bonkers street goin dude tremendous come blood gon usin syrinx newsflash still trash pill shoulda kill make strong like rebuilt like six million dollar man crash aftermath milk glass still half empty tempt hell enough need invent somewhere new send sick get stick conventional oven rotisserie set even notice sweat make verse foul tryna go back fix around make bad back look bad wear hater mad enough rip hair start punchin air panty bunch function shady royce dysfunctional pair stop actin like punk get pair take pill fall spill lunch chair look sick somebody well get dimetapp get ta shoot prove rap people ask shine check liner note kinda crap much star fart red carpet look bank account retard debit card helmet harness hey meet demand harmless show rider always large need four pound fry poultry carcass red charter charlotte look try act dumb start yell em like artist infect know deal wan na play sick get ill look measles mumps make need chump cheese need chunk hurry go burn rubber get dunk attitude determines latitude house call hip hop attic fool mic two turntable fit unstable convert pad room keep street sweeper fact call mag broom seein beef seein thing musta bag shrooms make call make em fake fall clique sick goodbye street stake high like ruth chris city true mayor go jail bein player right proof split level head competitor royce drinkin everyday til hex murda get regular voice back ra ya look scar ya blast ya block away ask tricky niggie hooder black dicky rap like committin suicide booth takin track patr n chromosome order leave alone ween lorena bobbitt chopper knock weenie put body chalk squeezin iron like swingin golf best rapper alive put somethin sound plain cheeseburger nothin hundred yard dash slash kim kardash shard glass nick hogan car crash may look like passenger smarta laugh sit thinkin hard part pas see pain til leatherface flip mane cut ball homie saw chain chopped half saw leg top half torso crawl insane see like since go mike jack take elephant man skull put right back hand bubble suck lick nut sack give reach around right butt crack nah takin back faggot give nothin go touchin man wan na open wait min ah alchemist cut,True,48,2010-06-30,,en,4487
Elevator,aboard okay next stop basement meet use back day met dre use sit goof phone friend proof go gold go right roof go platinum laugh happen fathom eighty million record worldwide later living house elevator hater get mad enough shady slay nothing matter enough touch rapper try play use hailie ukulele whoopsa daisy even know da da crazy animal cuckoo banana b maybe never mother raise around throw another may think way brought caught karma water every line ever corner might think creep ya listen man try warn ya start brain haunt thought chainsaw slaughter turn daughter sawdust never thought come oughta honest use back day met dre use sit goof phone friend proof go gold go right roof go platinum laugh happen fathom eighty million record worldwide later living house elevator sorry lance mr lambert aiken gon na make get mad call faggot voice head take someone shut fore shake stand adjacent jason slash leatherface together make em bad combination lash doctor last operation shove wiener schnitzel hopped away body please stop patient get cop mace homie schei e ask doctor dreson leave game walk away son chance today son believe leave brief second queef rap game naked use leaf wipe crap stain feck keep exact check use back day met dre use sit goof phone friend proof go gold go right roof go platinum laugh happen fathom eighty million record worldwide later living house elevator elevator house hah smell ya later blew hamster microwave think bout escalator step hate em told neighbor step away pepper sprayed em every time ride street hide drive house beep like try sleep lie fucker try counting sheep tryna find beef mace face cry house nine thousand foot suck amy winehouse teeth shove em elevator take em top stand em cut cable em drop walk hour damn refrigerator get pop em fall way basement yell stop use back day met dre use sit goof phone friend proof go gold go right roof go platinum laugh happen fathom eighty million record worldwide later living house elevator son believe must must even bidet wash gold toilet paper dishwasher big toss fly saucer awesome elevator living house elevator,False,20,2009-12-15,Relapse: Refill,en,2106
Tone Deaf,sorry hear ear infucktion finger alter ego fault evil thought dark cerebral palsy three zoloft eat doze rico suave cadillac ladder rack back crack axel backpack full paxil black satchel knapsack flask full gnac jack daniel girl go back back castle wan na hassle alexandra acronym stand wait alexandra know friday met saturday probably forget guess molly x lay next ever sinc nice tha rescue filum fr sh crew lab rat test tube goin like red roof like eat til jaw break call caught rock hard place like sasquatch crawlspace watchin heart race like scarface car chase cop arcade stuck inside mario kart race duckin saw blade stop start pace tryin drivin em crazy understand word think way prefer stay stop even hair turn grey stop cancel see rap game attack verse turn graveyard packed hearse like funeral service pocket stuffed like taxidermist land los angeles chick angela grandmother tan color van pull hand full xans substantial amount gan ask grand plan night sneak sleep inn weekend pretend five star leap deep end pool show dive ha even get ta drive far know spot live tryna get head first like nosedive many side chick decide slide ditch come get behind like heimlich chick like flip sometimes switchin side push side kick flip lil white like light switch okay like everything fine drink wine get offline quit whinin rhyme ask stick gun like adhesive tape bill cosby sedate treat cheesecake decent steak think gettin rid piece cake harder findin harvey weinstein date line black friday save damn library heard kris kristofferson well pissedofferson paul askin christmas spit song go understand word think way prefer stay stop even hair turn grey stop cancel make orange rhyme banana oranana eat pork rind sword fightin pajama crib playin fortnite grandma like four five grammar bout show five favorite rapper touch get hammer warn thor like manner day lose sleep critiquin ever cocksucker eat need pizzeria gettin cheese go little caesar blt grill cheese bein dirt poor filthy rich still like realtor real tea aftermath whole camp lit put fire dre stamp cohort hit bogart whole squad yellin god come barshall hold bar hurricane blowhard like old broad full semen like coast guard life pretty good far part couple run popo caught couple assault charge prior like crowbar odd forty eight startin creep like patrol car old fart want part start simmer compose mozart go nowhere call coleslaw cabbage raw time money clock folk caught within close proximity gettin cold cocked enemy chimney give smoke opps r p king von stop know told alter ego fault wan na cancel prob tell thing told paul understand word think way prefer stay stop even hair turn grey stop cancel,False,36,2020-12-18,Music to Be Murdered By: Side B,en,2665
Big Weenie,understand mean mean mean man jealous instead admit walk around kind really mean thing meanie meanie really jealous wan na look like idiot mean thing easy see really big weenie big weenie alright listen need focus need go dig deep mind important go perform experiment sort go ask bear moment need open mind eye close em place hypnosis next four half minute go explore mind find jealous make yoo hoo pippity kaka poo poo psych kid want see still listen okay need undivided attention sir question always sense undeniable tension moment enter room get quiet whisper whenever conversation always mention die ask itch jealous instead admit walk around kind really mean thing meanie meanie really jealous wan na look like idiot mean thing easy see really big weenie big weenie alright flubbed line go something extremely important forgot psych kid idiot want hear bust take without look paper take bunch take stand booth day truth okay drool tooth decay mouth open disgust eat lunch bunch sweet something munch bunch crunch n munch tooth rotten gum breath stink wan na chew gum yes sir sir truth serum marshall jealous please tell nobody embarrass absolutely terrify someone gon na find terrible evil awful mean thing insecurity jealous instead admit walk around kind really mean thing meanie meanie really jealous wan na look like idiot mean thing easy see really big weenie big weenie alright go conduct experiment talk earlier see frog look like take two hit ecstasy exactly eye look like wan na check see mirror notice resemblance wait put sunglass look mirror bout common green envy look like idiot sunglass em look like sound like sing weenie take weenie mouth know happy know much rather see lie corner room somewhere cry curl ball tweaked mind die deny weenie much big mine like stick banana two orange even pointless keep go torturous point mean thing weenie shrink forgot chorus jealous instead admit walk around kind really mean thing meanie meanie really jealous wan na look like idiot mean thing easy see really big weenie big weenie,False,12,2004-11-12,Encore,en,2040
We As Americans,intruder house cut phone line dial scream police doubt gon na hear shout couple cocktail send jail couple cop hot trail time get pull doberman pinscher pit bull seat pig get bit foolin quit foolin gon na see pistol seat always get ta issue gon na see long run wrong wan na harass limo tint glass flashin flashlight last night asshole ran grass rapper slash actor kiss crack cracker slash take away right bear arm pose fight bare palm right comin bomb comin flare gun american american u citizen get ta protect look well check livin street bad well health survivin mean american u citizen samaritan get u well check look take look live america american make beaucoup buck wearin beaucoup vest drama hangin head like voodoo hex coulda next fly cuckoo nest know tattooed chest fin industry pissy ever since dre split fifty fifty funny buzz spreadin quicker makin paper airplane twenty money rap dead president rather see president never set precedent standard stand name shoulda bastard shoulda plaster forehead stamp shoulda blast shoulda cap put swift fast past old go cruise gratiot see fast rap turn pap pap quick snap click time automatic gon test man clack american u citizen get ta protect look well check livin street bad well health survivin mean american u citizen samaritan get u well check look take look live america american secret keep u tuck two nina jean either side long john sean john run long arm law long go five year less question ask might good idea stop right quit ahead already red already steady infrared meant head target back big problem bin laden probably gon send task gon even ask gon pack gon give semi weed back american u citizen get ta protect look well check livin street bad well health survivin mean american u citizen samaritan get u well check look take look live america american,False,19,2003-11-07,Straight from the Lab,en,1817
Revival (Interlude),drown high ash recall laughter smoke everything go grasp end left light every broken blown window scream laugh hope feel course revival,False,2,2017-12-15,Revival,en,135
Foolish Pride,yo man yo marsh man yo kickin homies man want posse alright ole foolish pride ole foolish pride ole foolish pride ole foolish pride well foolish pride lot thing foolish pride like tooth decay tooth decay another problem take ole foolish pride problem solve talk foolish pride mean black white take different side black white take different side unity never happens subside subside hatred release everything crush peace crush peace see start hatin remember brother sister like mister see black girlfriend kiss kiss place cheek come back til next week next week back want kiss white kid girlfriend start go okay black white black white sometimes mix black girl want money dumb chick like date black girl take dis want tell like surely never date black girl black want money funny look honey know step like brutus try grab spinach green cash get outta need okay like black girl white girl mix black girl dumb white girl good chick white girl good like white girl like white girl world white girl fine blow mind tell rhyme black girl really like mix like rid bike peddle hard uphill way know kinda hard give little advice date black girl twice ever take money funny look honey already like nothing big mike catch bass line okay waste time get straight point black girl tell well pull britches cash make drag boyfriend ganked pretty bad mean pretty sad date black guy turn around another big black guy pretty wrong ganking okay need god damn spank funky bust rhyme swallow phlegm bust freestyle like swallow phlegm howard get howard get okay leaf show two day worry problem come cross bridge come forgot chorus okay bust rhyme u bust another rhyme black girl turn wack girl wack girl black girl funny want goddamn money take everything stand bunch snot hand kick like chorus go forgot okay tell stride ole foolish pride ole foolish pride ole foolish pride ole foolish pride ole foolish pride ole foolish pride ole foolish pride ole foolish pride date white girl raw hide,False,3,,Unreleased Songs,en,1965
Quitter (Everlast Diss),yo dedicate fan keep health tell whitey ford go cruel bad heart condition create mission listen close type claim never gay knew jealous day met upset get respect bet even like well niece nephew hate fred lethal left peckerwood mad record go wood respect hood flee neck wood touch root found redneck blood heck country western rap record good pick guitar strum note rap sing want put album rule part year kid rock limp bizkit come nowhere start era rock rap harder year tryin hear old fart chair sittin stage strummin acoustic guitar ear start get scar sit back spark idea figure dis jump start career punch chest til heart kick gear underground buddy nameless crew like mma name famous quitter bitter come along day house pain go talk little girl song mma kill mma kill quitter bitter come along day house pain go talk little girl song mma kill mma kill heart attack stroke crack smoke rap write answer back joke mma tell fan truth reason dis first answer pas lobby glance like notice show like suppose star struck come well shut mouth two back limp open show rock crowd well stole whole show take dj stole fall slump get emotional sing mix slang blue pluck string confuse music suck mr mr kisser get accepted rap quicker never last everlast quitter bitter come along day house pain go talk little girl song mma kill mma kill quitter bitter come along day house pain go talk little girl song mma kill mma kill aight look ask fan ever see everlast whoop hit stick brick rock throw kick spit treat like hoe slap fred limp rock rap kid ice gon hit back nothin five year eatin whitey bussin table cleanin toilet ayo cut ayo head mother fat kill whitey kill whitey detroit kill whitey yo yo kill whitey haha look first song dis wife least gay claim muslim irish white fat boy drop mic fight plus punch chest weak heart rip whitey ford white lethargic dickhead keep em comin runnin breath steady duckin punchin chest need rest dilate go ask people leave ya three cd nobody see release evidence around real mc ready underground beef geek faggot know life everlast might die tonight haha fat boy murder wax kill take heart pill know grab see slim shady call doctor heal heart shock back life clinic bout get relapse minute honkey hit em hahaha yo check faggot even level mma ride make faggot yo get way yo get way yo whitey ford heart stop eminem shock back another heart attack whitey ford gettin floor talkin back little faggot hamburgular show burger restaurant servin ya drop stomp whole heart til stop call cop mma beat watch ha ha whole industry makin fun erik house pain erik petty coward ready steady go round killer mile belle isle bridge grab see slim shady call doctor heal heart shock back life clinic bout get relapse minute honkey hit em faggot wan na mention still freestyle battle everlast gettin kill chest open tryin throw punch chokin stroke learn cracker never earn dime suck learn rhyme talkin packin pistol funny never trouble wan na paleface killer whale way prison pistol whippin tail erik remember pas lobby day obvious probably gay country give hip hop copy week drop sale make record break two half million scan second week hit em detroit pemberton ave bullet tear half music uzi get stereo dilate violate bout get annihilate gon bury erik iron get choked yoked underground get throat cut stupid choke whitey ford guitar cord stuff cardboard chopped box part stomp heart amityville mother watch keep restaurant lock block door hit em like pac shakur black jesus heart attack seizure many cheeseburger mcdonald big mac grease white devil wash honkey mixed cracker cross country yo ayo cut sheeeit promise sorry sorry sorry promise believe kick man goddamn quit mention daughter name song punk ayo,False,40,2000-12-01,The Magic Sound Of Deep Dance Presents - The Eminem Show ,en,3714
That’s All She Wrote (Solo Version),really care call even call cold knew soon saw never get privilege know roll like desperado never know gon na go still ball like tomorrow write starin straight barrel hate terrible fate even slim chance make narrow escape cupid shot arrow miss wait sarah late train left mascara egg smear face night goodbye ho thought told ya spill nut nothin cry never shoulda come within range rover shoulda know trouble soon roll chick dumb enough blindfold still come back crib must want mess mind hold mistook high roller well buy soda unless rock rye cola buy bag fritos eat chip shoulder bleach hair die ya tryin pull five buck like tryin pull five molar get eye swoll straight grizzly would buy gay teddy bear already bi polar really care call even call cold knew soon saw never get privilege know roll like desperado never know gon na go still ball like tomorrow write tip told ho tip best tip could give hip never trick trick mighty ambiguous think love dig ho take shovel dig dignity talk advice stick listen anyone tell stick gun like double stick em tip cool chillin like villain like penguin igloo eat fudgesicles rather slip fall fall love tie knot tie think nintendo game dumb give lump split lump sum penny thought buy cheeseburger nickel might get pickle official blow whistle trust issue bombshell scud missile like cuss cuss like rapped stud teach come drunk stumble way shizzle still live like budget gilbert lodge check stub bizzle sizzler checker bust like blood blister really care call even call cold knew soon saw never get privilege know roll like desperado never know gon na go still ball like tomorrow write guess life tip think shirt back give dirt handkerchief givin hoe dose medicine em get good taste sure relationship memo case stick whole pad full sticky note forehead staple life short time sit around wastin pace little bit quicker clock racin double timin still spit triple amount insult tenth time may take prick catch strong arm like stretch armstrong man still k mart like apostrophe dog mcdonalds restaurant well guess wrong gon na tell w spot best hot dog get f dawg really care call even call cold knew soon saw never get privilege know roll like desperado never know gon na go still ball like tomorrow write write write write write write goodnight write,False,32,,,en,2281
Lose Yourself (Original Demo Version),yo could minute split second time forget everything everything bother problem everything follow froze inside moment could capture time inside capsule hourglass full sand palm hand pas grasp control happens trap time elapses rap could maybe could tap could try channel cadillacs buicks transmit em make put hit roof sit passion much dancin movement become fast fluent mashin moshin til black bluish actin foolish music influence rowdy orderly fashion true chaotic body movin unit unitin together tonight make last well lose music moment never go well move tomorrow wait time sit procrastinate lose music moment never go well move tomorrow wait time sit procrastinate well descend together begin move perfect unison like moon sun illuminate room human soon become aluminum rhythmically sync excuse pun could lose mean could go relax take breath exit slow rest soul could leave rest could give world hit ecstasy make em feel feelin feelin right minute feel like night end get finish close shade makin sure light get sky limit tonight night infinite high percentage black people white mixed really give like spinnin life spinnin whole entire night spinnin like life begin come inside skin quit hidin lose music moment never go well move tomorrow wait time sit procrastinate lose music moment never go well move tomorrow wait time sit procrastinate well,False,13,2014-11-24,SHADYXV,en,1348
Old Time’s Sake,good even captain speak soon reach altitude four million half foot eight million mile sky please undo seat belt takeoff free smoke cabin dre back day n w black gray choke smack face stack body rack ak rack hit stack crate still hungry back tapeworm happenin rap entertainment shady far competition faggot none speak devil attack rain man chainsaw hand bloodstain apron soon blade spun vrrunn run away wan na play dungeon safe search brain surgeon great wait funny man urgent need two box detergent paint gun emergency squirt gun spray time old time sake dre drop beat scratch break blow little bit smoke way go time old time sake dre drop beat scratch break send little bit smoke way go smoke signal sky like verizon wireless nice environment surprised entirely hypnotize sound surround hydrant take life fireman goodbye naked wife vicodin begin get high boy could spin vinn vinn handle fly hinge boy bench coach throw go trench coat clothes make u french toast show u skin show every inch grows foreskin show nipple pinch throw ten know sin tease blow u sorcerer intercourse force fight feel feel force within wake morning next porcelain time old time sake dre drop beat scratch break blow little bit smoke way go time old time sake dre drop beat scratch break send little bit smoke way go smoke fire fire flame flame chronic either high time game nuh uh playin gon get ak aim right brain slightly insane vodka creatine hpnotiq red bull incredible energy drink give wing believe fly pee girl catch csi easy pie simple cake dre get mic make em tremble shake put smoke air raise henny coke really wan na get know smoke til lighter fluid get smokin triedest truest midas touch come rollin smokin holdin go get get hold blunt smoke kinda stuff make record go number first succeed hurt smoke weed word little personal see blew puff tree well smoke enough light cheech come smoke cuz give contact buzz get track love stuff earth call shady man come back man lose even respond back look pretty woman dre hot think well go check temperature get thermometer get bandage bend hurt damn bit give time old time sake dre drop beat scratch break blow little bit smoke way go time old time sake dre drop beat scratch break send little bit smoke way go,False,20,2009-05-15,Relapse,en,2237
Buffalo Bill,ahh sick asshole go somebody please help god please help fit perfect well watch sucker want ya onslaught come pack lunch bunch missile launcher bunch contra band van full ganja come jump man stop moshin marshall god ya cha cha cucaracha quadra plegic boogying frank sinatra lindsay lohan lick watch ya da knew buddha cynicism izm system blunt hypnotism lift spliff lip son much hand give kid fist bump christo pher reef swimmin swim trunk mister help sunk woman skin cut chunk come woman cocoa butter skin call buffalo bill buffalo bill buffa buffalo bill skin em hem em sew em kilt kilt uppa kilt man want go hill hill uppa hill well beware stay clear buffalo bill buffalo bill buffa buffalo bill always see lurkin hallway carcass caucasian female crawl space hell fit em small place hide em wall well long drywall take well nothing time wait dry moment guess safe sand buff guess paint chainsaw gas regular saw come damn stomach rumble even hear evil spirit come within someone back damn house rummage girl look pretty thin want skin vinn hunt ever end evelyn try fight never win severin leg arm damn go another limb pull lever trap door death evident call buffalo bill buffalo bill buffa buffalo bill skin em hem em sew em kilt kilt uppa kilt man want go hill hill uppa hill well beware stay clear buffalo bill buffalo bill buffa buffalo bill know buffalo bill nothin chill ho well hold still make sure none lotion bucket spill cut em gut em get stuffin girl man think enough pill sedate wait come back later clutch steel blade cut ya squeal hate loud noise told keep hearing voice like ya like go get butcher knife push right put ya shish kebab skewer barbecue would usually girl skin newer world sin turn torment tournament sort christmas ornament sure ginsu ya til skin ya boo yah ya think duck come call buffalo bill buffalo bill buffa buffalo bill skin em hem em sew em kilt kilt uppa kilt man want go hill hill uppa hill well beware stay clear buffalo bill buffalo bill buffa buffalo bill,False,15,2009-12-21,Relapse: Refill,en,1997
Never Enough,much could phase people think little bit crazy get angle even occasionally doc dre zie step every save make stop think fore thing sometimes forget people may think lot rapper probably know take heard lay tape fore erase may little fast pace racy sometimes average listener rewinds play twenty time many rhyme may seem like goin fast mind race could give category place long push daisy go long place amongst great hit heavenly gate cool beside jay z every single die hard fan embrace thankful talent god give thankful environment place believe thank mom raise neighborhood daily jumped chase make today see regardless anybody believe hate gon na make break tryna strip credibility make look fake g gon na rude awaken sooner later hater gon na face face save time think try face patiently wait day finally meet place see matter many battle matter many magazine nut matter many emcee eat never enough matter many battle matter many magazine nut matter many emcee eat never enough flow untouchable get ta face uh get bad go back basic gon wrong get whole face split smell victory love much taste spot target blaze direct hit graze peace talk save sound date overrate obligate study move crush best bad god gift curse soldier train destroy payin attention boy spit slick quick miss specific go ballistic hieroglyphic music drug press play get ta sniff shoot pop roll bag chop get high get ta cop hot hot hatin undeniable stop matter many battle matter many magazine nut matter many emcee eat never enough matter many battle matter many magazine nut matter many emcee eat never enough,False,11,2004-11-12,Encore,en,1578
